datetime,aapl,cash,commission,total,returns,equity_curve,drawdown
2017-03-06,0.0,100000.0,0.0,100000.0,,,
2017-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-03-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2017-04-04,3417.1504974365234,96606.80508728027,1.3,100023.9555847168,0.0002395558471679493,1.000239555847168,0.0
2017-04-05,3399.448013305664,96606.80508728027,1.3,100006.25310058593,-0.0001769824441292256,1.0000625310058593,0.00017702484130865948
2017-04-06,3390.951156616211,96606.80508728027,1.3,99997.75624389648,-8.496325405682459e-05,0.9999775624389647,0.0002619934082032094
2017-04-07,3383.3972930908203,96606.80508728027,1.3,99990.20238037109,-7.554033019463446e-05,0.9999020238037108,0.00033753204345710053
2017-04-10,3379.3846130371094,96606.80508728027,1.3,99986.18970031738,-4.013073239361731e-05,0.9998618970031737,0.0003776588439942108
2017-04-11,3343.035125732422,96606.80508728027,1.3,99949.84021301269,-0.0003635450797118134,0.9994984021301269,0.0007411537170410876
2017-04-12,3347.046661376953,96606.80508728027,1.3,99953.85174865722,4.013548832082492e-05,0.9995385174865722,0.0007010383605957626
2017-04-13,3329.3441772460938,96606.80508728027,1.3,99936.14926452636,-0.00017710657289504717,0.9993614926452635,0.0008780632019044221
2017-04-17,3347.7554321289062,96606.80508728027,1.3,99954.56051940918,0.00018423018115365508,0.9995456051940915,0.000693950653076425
2017-04-18,3332.8845977783203,96606.80508728027,1.3,99939.68968505859,-0.00014877594652318304,0.9993968968505856,0.0008426589965823128
2017-04-19,3320.6104278564453,96606.80508728027,1.3,99927.41551513672,-0.00012281576979633613,0.9992741551513669,0.0009654006958010886
